MLService,Model,Version,GCC,LCC,PayrollService,System,Client,ABKRS,PERNR,Employee_Status,Employee_Type,Job_Code,WT_401KBT%,WT_401MTCH,WT_DEN,WT_Federal Withholding [USA] ,WT_GTL,WT_Gross_Pay,WT_HLTSAG,WT_HLTSAV,WT_LTD,WT_MED,WT_NEC,WT_Net_Pay,WT_REG,WT_SUI (ER) [USA],WT_State Withholding (Work) [USA],WT_Total_Deductions,WT_Total_EE_Taxes,WT_Total_ER_Taxes,WT_VIS
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,2328,Active,Regular,111662,0.0,113.07,25.89,184.13,53.56,2826.67,0,0.0,16.11,271.6,70.67,1420.41,2826.67,67.19,0.0,1027.15,379.11,273.58,0.61
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,2012,Active,Regular,102491,190.5,127.0,10.75,198.33,22.15,3175.0,3000,125.0,0.0,42.0,79.38,2130.89,3175.0,3.4,0.0,615.23,428.88,239.78,5.65
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,1327,Active,Regular,102640,168.34,168.33,51.82,348.9,6.84,4208.34,7100,295.84,7.53,185.91,105.21,2546.81,4208.34,13.44,0.0,1047.07,614.46,279.34,1.94
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,5905,Active,Regular,102571,259.59,148.33,5.19,239.12,14.72,3708.34,3000,125.0,0.0,35.84,92.71,2238.78,3708.34,71.82,108.73,809.83,659.73,343.88,0.69
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,3911,Active,Regular,111880,321.23,183.56,20.64,651.42,12.83,4588.97,2500,104.17,0.0,73.97,114.73,2876.74,4588.97,82.99,201.94,522.2,1190.03,419.66,2.19
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,4580,Active,Regular,110819,0.0,73.53,40.02,260.1,19.21,4506.25,7100,295.84,14.19,202.1,112.66,2981.36,4506.25,32.21,183.0,777.52,747.37,336.48,10.02
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,4003,Active,Regular,110813,0.0,0.0,13.0,508.84,6.05,3561.25,0,0.0,0.0,284.46,89.03,2341.87,3561.25,95.61,161.8,298.7,920.68,348.43,1.24
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,4546,Active,Regular,103316,0.0,282.5,53.75,730.65,0.0,7062.5,7100,295.84,21.33,56.0,176.56,3900.72,7062.5,34.77,345.79,1575.4,1586.38,544.71,7.54
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,4589,Active,Regular,102624,111.82,63.9,0.0,129.69,1.35,1597.3,0,0.0,4.41,0.0,39.93,1093.24,1597.3,46.76,0.0,180.58,323.48,178.66,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,491,Active,Regular,100982,0.0,196.67,12.03,665.33,21.39,4916.67,2000,83.34,15.49,55.47,122.92,2350.1,4916.67,79.41,178.11,1337.39,1229.18,465.15,8.08
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,837,Active,Regular,111882,0.0,216.71,5.73,755.19,15.83,5417.74,3456,144.0,16.36,112.84,135.44,3180.62,5417.74,13.14,236.29,850.11,1387.01,408.67,0.69
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,4381,Active,Regular,111881,0.0,173.33,0.0,279.38,11.85,4333.34,3550,147.92,0.0,17.5,108.33,2885.49,4333.34,13.63,178.37,670.49,777.36,333.24,1.94
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,2532,Active,Regular,111679,277.97,138.98,7.72,313.71,5.85,3474.54,500,20.84,9.59,80.74,86.86,1743.58,3474.54,83.86,128.8,1043.88,687.08,332.06,7.31
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,5837,Active,Regular,111880,37.5,37.5,0.0,420.71,9.75,3750.0,0,0.0,0.0,0.0,93.75,2819.92,3750.0,109.97,184.25,37.5,892.58,397.59,0.0
